abbath,18
aborym,49
agalloch,39
akercocke,57
ancient,53
ancient rites,61
andoceans,1
arallu,35
archgoat,30
aura noir,50
axisofperdition,4
barathrum,86
bathory,155
behemoth,128
beherit,17
belphegor,73
bestial warlust,15
bethlehem,33
black fast,24
blacklodge,35
blasphemy,17
blut aus nord,20
bolzer,8
burzum,31
carach angren,48
cardinal sin,9
celtic frost,55
cradle of filth,193
crimson thorn,37
cruachan,62
dark funeral,69
darkthrone,127
dawn,9
deathspell omega,66
deinonychus,64
destroyer 666,57
dimmu borgir,95
dissection,40
dragged into sunlight,6
emperor,77
enslaved,107
enthroned,89
fen,33
forgotten tomb,43
gallhammer,15
god dethroned,83
gospel of the horns,27
grand belial s key,31
graveland,78
hellhammer,25
hobbs angel of death,10
immortal,69
impaled nazarene,154
impiety,59
in the woods,7
judas iscariot,9
kvelertak,1
liturgy,30
marduk,130
mayhem,83
melechesh,47
mortiis,45
mutiilation,34
myrkur,7
mysticum,4
nachtmystium,27
naglfar,54
necros christos,27
nidingr,16
nortt,4
oranssi pazuzu,13
panopticon,28
primordial,71
rotting christ,135
sacramentum,32
samael,127
satyricon,68
shining,36
skeletonwitch,54
soulburn,22
ulver,65
unanimated,26
vreid,32
watain,56
windir,15
witchery,66
wolves in the throne room,27
woods of ypres,59
xasthur,34
